X,Y,OBJECTID,TCOURTLOCN,Lat,Long,EastITM,NorthITM,EastIG,NorthIG
-9.047858919161463,53.293817364909003,1,"Crestwood, Ballinfoyle",53.293817,-9.04786,530141.785686,727569.417144,130175.933245,227540.743063
-9.112104050770085,53.262981368767029,2,"McGraths field, Shangort Rd.",53.262981,-9.112105,525805.49442,724203.1632,125838.716857,224173.740844
-9.078127993983678,53.275980370819831,3,Westside Sports Ground,53.27598,-9.078129,528093.953805,725614.783135,128127.665587,225585.677502
-8.984258929381827,53.284523395711773,4,"Doughiska Park, Doughiska Rd.",53.284523,-8.98426,534367.473918,726475.015258,134402.537319,226446.131587
-8.969383955047622,53.275313408616377,5,"Roscam Park, Roscam",53.275313,-8.969385,535345.444166,725436.689697,135380.722214,225407.589036
